language,coef,left_x,left_y,right_x,right_y,distance,left_parsed,right_parsed
en,0.0,-3.333,-4.414,-3.725,-4.414,0.392,62,62
en,0.8,-3.725,-4.234,-3.333,-4.054,0.431,62,62
en,1.5,-3.725,-4.595,-3.333,-3.874,0.821,62,62
en,2.5,-4.51,-4.414,-2.941,-3.694,1.726,62,62
en,4.0,-4.51,-4.234,-2.549,-3.514,2.089,62,62
it,0.0,-3.333,-3.874,-3.333,-3.874,0.0,62,62
it,0.8,-3.333,-3.694,-3.333,-3.874,0.18,62,62
it,1.5,-3.333,-3.514,-3.333,-3.874,0.36,62,62
it,2.5,-3.333,-3.333,-3.333,-3.874,0.541,62,62
it,4.0,-2.549,-2.973,-3.333,-3.514,0.953,62,62
fr,0.0,-4.902,-5.495,-4.902,-5.495,0.0,62,62
fr,0.8,-4.902,-5.495,-4.902,-5.495,0.0,62,62
fr,1.5,-4.902,-6.216,-4.902,-5.495,0.721,62,62
fr,2.5,-4.51,-6.216,-4.902,-5.495,0.821,62,62
fr,4.0,-4.51,-6.216,-4.902,-5.676,0.667,62,62
es,0.0,-4.118,-4.595,-4.118,-4.775,0.18,62,62
es,0.8,-4.118,-4.595,-4.118,-4.775,0.18,62,62
es,1.5,-4.118,-4.414,-4.118,-4.775,0.361,62,62
es,2.5,-4.51,-4.955,-4.118,-4.775,0.431,62,62
es,4.0,-4.118,-5.315,-4.118,-4.775,0.54,62,62
de,0.0,-6.078,-6.757,-6.078,-6.757,0.0,62,62
de,0.8,-5.686,-7.117,-7.255,-6.757,1.61,62,62
de,1.5,-5.686,-6.757,-7.255,-6.577,1.579,62,62
de,2.5,-4.118,-6.577,-7.255,-6.577,3.137,62,62
de,4.0,-4.118,-6.396,-7.255,-6.577,3.142,62,62
