language,coef,left_x,left_y,right_x,right_y,distance,left_parsed,right_parsed
en,0.0,-3.725,-4.414,-3.725,-4.414,0.0,62,62
en,0.8,-3.725,-4.234,-3.333,-4.054,0.431,62,62
en,1.5,-3.725,-4.414,-3.333,-3.874,0.667,62,62
en,2.5,-3.725,-4.775,-2.941,-3.694,1.335,62,62
en,4.0,-4.902,-5.135,-2.549,-3.514,2.857,62,62
it,0.0,-3.333,-3.874,-3.333,-3.874,0.0,62,62
it,0.8,-3.333,-3.874,-3.333,-3.874,0.0,62,62
it,1.5,-2.941,-3.874,-3.333,-3.874,0.392,62,62
it,2.5,-2.941,-3.694,-3.333,-3.874,0.431,62,62
it,4.0,-2.941,-3.694,-3.333,-3.514,0.431,62,62
fr,0.0,-4.902,-5.495,-4.902,-5.495,0.0,62,62
fr,0.8,-4.902,-5.495,-4.902,-5.495,0.0,62,62
fr,1.5,-4.902,-5.495,-4.902,-5.495,0.0,62,62
fr,2.5,-4.902,-5.495,-4.902,-5.495,0.0,62,62
fr,4.0,-4.902,-5.495,-4.902,-5.676,0.181,62,62
es,0.0,-4.118,-4.775,-4.118,-4.775,0.0,62,62
es,0.8,-4.118,-4.595,-4.118,-4.775,0.18,62,62
es,1.5,-4.118,-4.414,-4.118,-4.775,0.361,62,62
es,2.5,-4.118,-4.414,-4.118,-4.775,0.361,62,62
es,4.0,-3.725,-4.414,-3.725,-4.775,0.361,62,62
de,0.0,-6.078,-6.757,-6.078,-6.757,0.0,62,62
de,0.8,-6.078,-6.757,-7.255,-6.757,1.177,62,62
de,1.5,-6.078,-6.757,-7.255,-6.577,1.191,62,62
de,2.5,-6.078,-6.937,-7.255,-6.577,1.231,62,62
de,4.0,-5.686,-7.117,-7.255,-6.577,1.659,62,62
